Id,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
1,I am a developer by profession,Yes,NA,13,Monthly,NA,NA,Germany,European Euro,EUR,Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;Oracle,"Developer, desktop or enterprise applications;Developer, full-stack","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Remote work options;Opportunities for professional development",Slightly satisfied,I am not interested in new job opportunities,C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,.NET Core;Xamarin,.NET;.NET Core,Microsoft Teams;Microsoft Azure;Trello,Confluence;Jira;Slack;Microsoft Azure;Trello,No,Somewhat important,Fairly important,NA,NA,Once a year,Not sure,NA,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,2 to 9 employees,Android;iOS;Kubernetes;Microsoft Azure;Windows,Windows,NA,Straight / Heterosexual,No,"No, not at all",NA,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core,ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,50,36,27
2,I am a developer by profession,No,NA,19,NA,NA,NA,United Kingdom,Pound sterling,GBP,NA,NA,"Developer, full-stack;Developer, mobile","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,NA,NA,NA,Very dissatisfied,I am not interested in new job opportunities,Python;Swift,JavaScript;Swift,React Native;TensorFlow;Unity 3D,React Native,Github;Slack,Confluence;Jira;Github;Gitlab;Slack,NA,NA,Fairly important,NA,NA,Once a year,Not sure,NA,No,NA,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity,MacOS,"1,000 to 4,999 employees",iOS;Kubernetes;Linux;MacOS,iOS,I have little or no influence,NA,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,NA,NA,NA,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat more welcome now than last year,NA,7,4
3,I code primarily as a hobby,Yes,NA,15,NA,NA,NA,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Objective-C;Python;Swift,Objective-C;Python;Swift,NA,NA,NA,NA,NA,NA,NA,NA,NA,Once a decade,NA,NA,No,NA,NA,NA,Stack Overflow (public Q&A for anyone who codes),NA,Linux-based,NA,NA,NA,NA,NA,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,NA,NA,NA,NA,Somewhat more welcome now than last year,NA,4,NA
4,I am a developer by profession,Yes,25,18,NA,NA,NA,Albania,Albanian lek,ALL,NA,NA,NA,"Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",NA,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",NA,NA,NA,NA,NA,NA,No,NA,Not at all important/not necessary,Curious about other opportunities;Wanting to work with new technologies,NA,Once a year,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,NA,NA,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),NA,Linux-based,20 to 99 employees,NA,NA,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,NA,NA,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat less welcome now than last year,40,7,4
5,"I used to be a developer by profession, but no longer am",Yes,31,16,NA,NA,NA,United States,NA,NA,MySQL;PostgreSQL,MySQL;PostgreSQL;Redis;SQLite,NA,"Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,NA,NA,NA,Java;Ruby;Scala,HTML/CSS;Ruby;SQL,Ansible;Chef,Ansible,"Github;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",NA,NA,Very important,NA,NA,Once a year,No,NA,Yes,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,NA,Docker;Google Cloud Platform;Heroku;Linux;Windows,AWS;Docker;Linux;MacOS;Windows,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Django;Ruby on Rails,Ruby on Rails,Just as welcome now as I felt last year,NA,15,8
6,I am a developer by profession,No,NA,14,NA,NA,NA,Germany,European Euro,EUR,NA,NA,"Designer;Developer, front-end;Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,White or of European descent,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture",Slightly satisfied,I am not interested in new job opportunities,HTML/CSS;Java;JavaScript,HTML/CSS;Java;JavaScript,NA,NA,Github;Slack,Confluence;Github;Slack;Trello,Not sure,NA,Fairly important,NA,NA,Once a year,No,No,No,Never,Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,NA,Android,Android;Docker;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per week,Neither easy nor difficult,Appropriate in length,NA,NA,React.js,NA,NA,NA,6,4
7,I am a developer by profession,Yes,NA,18,Monthly,NA,NA,India,United States dollar,USD,NA,NA,"Developer, back-end;Developer, front-end;Developer, QA or test;DevOps specialist","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,NA,NA,NA,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",C#;HTML/CSS;PHP,C#;HTML/CSS;PHP,NA,NA,NA,NA,Yes,Extremely important,Very important,Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Every few months,Yes,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,NA,Stack Overflow (public Q&A for anyone who codes),NA,Windows,20 to 99 employees,NA,NA,NA,NA,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,NA,NA,NA,"Computer science, computer engineering, or software engineering",NA,NA,A lot more welcome now than last year,NA,6,4
8,I am a developer by profession,Yes,36,12,Yearly,116000,116000,United States,United States dollar,USD,MongoDB,MariaDB;MySQL;Redis,"Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Remote work options;Opportunities for professional development;Family friendliness,Slightly dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",JavaScript,Python;SQL,Unity 3D,Ansible,NA,"Confluence;Jira;Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,iOS;Slack Apps and Integrations,Docker,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;React.js;Vue.js,Flask,Just as welcome now as I felt last year,39,17,13
9,I am a developer by profession,No,30,20,NA,NA,NA,Tunisia,United States dollar,USD,NA,NA,"Developer, full-stack","Professional degree (JD, MD, etc.)","Independent contractor, freelancer, or self-employed",NA,Man,Diversity of the company or organization;Remote work options;Office environment or company culture,Very dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",Python;Rust,HTML/CSS;JavaScript;PHP,NA,NA,NA,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,Very important,Curious about other opportunities;Growth or leadership opportunities,NA,Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate,Windows,"Just me - I am a freelancer, sole proprietor, etc.",NA,WordPress,NA,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js,jQuery,Just as welcome now as I felt last year,50,6,4
10,I am a developer by profession,Yes,22,14,Yearly,25000,32315,United Kingdom,Pound sterling,GBP,Microsoft SQL Server,Microsoft SQL Server,"Database administrator;Developer, full-stack;Developer, mobile","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;Python;R;SQL,HTML/CSS;Java;JavaScript;Python;SQL,Pandas;TensorFlow,Pandas,Github;Microsoft Teams,Github;Microsoft Teams,No,Neutral,Fairly important,Curious about other opportunities;Better compensation;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,2 to 9 employees,Android;Linux;Raspberry Pi;Windows,Android;Linux;Raspberry Pi;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,Mathematics or statistics,Flask;jQuery,Flask;jQuery,Somewhat more welcome now than last year,36,8,4
