Team,Empowerment,Gender Groups,Race Groups,Gender Comp,Race Comps,Improvements,Age,Occupation/Title,Are you a current student?,Gender,Education,School
My ideal team has a clearly defined leader with equal team members. The leader can delegate work to the members and everyone contributes their fair share of work. The leader should be able to know the skills of each team member to delegate work based on that member's strengths. The leader should be a good listener and able to utilize everyone's suggestions into one cohesive end project. The leader should see the clear end goal and don't get too bogged down into the details cause that is where the team members come in.,"Being able to stand next to a male and not be seen as a male and a female with the prejudices that go along with each gender, but to be seen as two equal humans capable of doing the same type of work.",I feel they are necessary for women to have a support group with mentors in fields of work that are predominantly male. These interest groups provide women with tools on how to be successful and a network to reach out to.,"These groups are very necessary and helpful but I hope one day we move away from race specific groups. But realistically, we have a long way to go to achieve that.",I don't think there should be gender specific academic or skill competitions. Everyone should be able to compete against each other and May the best person/team win.,I don't think race specific competions should exist either.,"In the workplace, have more women in higher positions.",18 - 24,Credit officer,No,Female,Bachelor's Degree,University of Texas
"Multiple personalities from multiple backgrounds, all under one shared vision.",Women feel able to voice their opinion without having to apologize or fear of recourse.,"I think they inspire women to take part in groups they otherwise wouldn't, which is good.","I also think they encourage people to get involved when they otherwise wouldn't, but sometimes feel they lead to an unintended segregation.","I'm against it. I think academic and mental competitions should be integrated. It sends a message to the ""dominant"" group I guess, that their skills couldn't compete.",Same as above. It sends a message that their skills couldn't compete.,"Personable outreach. Like, encourage peers to encourage their female friends to join the main groups. I like this approach better than establishing a female-only parallel group.",18 - 24,Student,"Yes, Full-Time",Male,Bachelor's Degree,University of Texas
"A small group where people contribute ideas and can productively build off each other. Diversity in skills is great, but some overlap is even better.",Creating an environment in which women feel free to try different things with the knowledge that they will be fairly supported in doing so.,"I think they can provide support to people who have been socialized away from certain interests, or who have been shamed out in the past. I would think they'd work best as a compliment to an inclusive greater organization.","As a white woman I don't feel qualified to comment on the experiences of non white women in the US. Knowing that minority men and women do face additional prejudice in many areas of life does makes me hope that groups like these can provide similar support and encouragement, though.","It's not terrible. Working only in these spheres will probably limit some people, but having an arena with less worry of prejudice to dip into could be good for the same reasons I listed before. Note, I'm talking about things like this for genders who have historically been excluded from these skills or activities. Having a women-only nursing event or a men-only coding event just reinforces existing exclusionary sentiment.","See above, with similar concerns about reinforcing stereotypes.","The dress code could be less judgy, but otherwise I think they're doing a decent job.",18 - 24,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas
"a team of four with different personalities and strengths, mix of introverts and extroverts with different backgrounds. 2 females 2 males.","Female empowerment means actively taking steps to include women in discussions, opportunities, and leadership positions.","They are important. Most importantly, senior leaders who are male should actively find ways to become involved in these groups. The focus must be on including women, not excluding men.",Respect those groups and see their purpose.,Negative opinions. We should be including women not excluding men. Or else we're no better!,That's horrible.,"My workplace is so sexist, each team should be required to have at least one female.",25 - 34,Senior Financial Analyst,No,Female,Bachelor's Degree,University of Texas
"A strong team that works closely together, respects each other and is aligned to the same objectives, with each person bringing different knowledge/experience to the table.",Women that have the strength to have their voice heard and the power to succeed in their professional careers.,"I am a big supporter of women in business and technology groups/communities as these provide an intimate and supportive environment for women to share ideas, challenges and job opportunities for their career growth. Since there is a lack of women in tech and business, it is important to create groups where women feel empowered to share their ideas and personal experiences so they can continue to grow professionally.","I believe race specific groups provide an even stronger connection for people with similar cultural backgrounds to share their experiences/challenges/opportunities in a comfortable environment. The closer you can get to a person's background and culture, the more comfortable they feel sharing and supporting each other.","I think these competitions should be more inclusive, focused on skills rather than gender or race. The groups/communities provide the support needed to thrive in these competitions.","I think these competitions should be more inclusive, focused on skills rather than gender or race. The groups/communities provide the support needed to thrive in these competitions.","The workplace can encourage women employee groups, as well as other groups, to provide a resource for women at the company to come together regularly to share professional tips, opportunities, mentoring, etc. The groups can meet regularly and include guest speakers.",35 - 44,Public Relations Director,No,Female,Bachelor's Degree,University of Texas
"High performing, empathetic individuals with complementary skills, diverse backgrounds, and a shared definition of success.","Providing equal platforms for success and achievement regardless of gender; being aware of and acknowledging gender bias, and a willingness to address and correct gender bias when it occurs.",I assume these interest groups provide support and a community for those who feel like a minority in their field. People likely feel more confident and comfortable when they have that sense of community. I support these groups and would join similar groups if I felt a lack of community in my field.,I assume these interest groups provide support and a community for those who feel like a minority in their field. People likely feel more confident and comfortable when they have that sense of community. I support these groups and would join similar groups if I felt a lack of community in my field.,"My initial reaction is that I feel less positive about gender specific competitions. In my academic career, I never considered my performance against a particular gender, but against the entire population. There are very likely valid, logical reasons to hold gender specific competitions, but I would fear some may use a gender qualifier to ""discount"" the competition quality.","My initial reaction is that I feel less positive about race specific competitions. There are very likely valid, logical circumstances to hold race specific competitions, but I would fear some may use a race qualifier to ""discount"" the competition quality.","The workplace could be more direct and open with discussing research on how women might be treated differently in the office, and what we all (as colleagues) can do to help recognize and address these situations. For example, if I know that my female colleagues are more likely to be interrupted or spoken over in meetings, I can gently correct this behavior (by myself or other meeting participants) when it occurs. We can also structure compensation, performance review, and promotion decision processes to exclude gender biases where possible, so that each employee is judged on merit rather than by gender.",25 - 34,Consultant,No,Male,Bachelor's Degree,University of Texas
"My ideal team splits responsibilities evenly, challenges one another on ideas, and contributes new ideas or ways to do things. Also my ideal team has a mix of people from different socioeconomic backgrounds... I've been in too many teams where everyone came from very affluent families, and sometimes it is difficult to relate.","Female empowerment means that everyone understands that there are inherent biases in our society due to media where women are meant to be more submissive and care about beauty. Once everyone understands that this plague that affects society, we can recognize the bias and truly judge women on their abilities and not what they're supposed to care about according to the media.","I think given the marginalization of women, it is acceptable to have these groups in order to form a camaraderie and honestly address issues. What I don't like about these groups is that they tend to exclude men... at my prior company, our ""Women in Oliver Wyman"" group tended to alienate men from our discussions, which I thought was very counter productive and discriminatory.","Same as above - acceptable due to marginalization and need to address issues in an inclusive forum, but counter productive when they exclude people from other races from hearing and learning about issues","Seeing as I helped found the Female Case Competition, my answer here is predictable: I fully support these endeavors. In the beginning of my college career, I did not support these competitions. I thought it was counter productive to what society tries to foster, because in the real workplace, the goal is a diverse team, not a one-gender team like my competition seemingly promoted. However, my opinion changed when I actually looked at the statistics - 1 out of 4 case competition participants were women, while the rest male when our school has about a 50/50 ratio. I did some research into why women weren't participating - it had to do with investment of time vs. reward, and the ""confidence gap"" (http://www.forbes.com/sites/margiewarrell/2016/01/20/gender-confidence-gap/#2ac3ba4a4f72) that women experience. By creating a safer zone for women to experience case competitions, we've seen participation rise in normal case competitions due to this introductory experience",Same as above - but I think it's important to do the research first to ensure that the population participating is indeed under-represented or marginalized in the skill set. I feel the same way about gender competitions.,Too new to my current workplace to honestly assess.,18 - 24,Business Operations Associate,No,Female,Bachelor's Degree,University of Texas
Competent and driven people,"Necessary, but often misinterpreted","Seem demoralizing to women, but are necessary when you see the statistics","Create an insulated mindset, but are good for comfort of those students",Demoralizing,n/a,n/a,18 - 24,Student,"Yes, Full-Time",Male,High School Graduate,University of Texas
"Structured with clear division of work, open to ideas, fun to work with.","the ability/status that woman have full access to the resources of the society, can participate fully in society(in all aspects), and enjoy the rights to control and benefit from the resources, improve life quality and achieve what they want...","great as a union against the presence of discrimination on women nowadays, but may magnify the difference between women and man in a biased way, after all, they are all independent human beings, nothing different.",same as the answer to last question,same as above,same as above,"balance the gender in all kinds of org, activities; not only to have gender specific interest groups but also get male involved and experienced.",18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas
"Respectful, communicates well, diverse group of people",I am a huge fan of Sheyrl Sandberg- so most of my female empowerment values come from reading her book and listening to her talks. I agree that female empowerment means fostering an environment to encourage women to lean in to the table.,I was a member of women in business in college and found that it helped to hear and engage with women at different stages in their career. I enjoyed the organization and found that it was beneficial in building the foundation of my career goals.,"I have not been a member of a race specific interest group, but have talked to members of these groups. I think they are a great resource in high school, college, and in the working world. They help bring together people with common interest and help them develop their skills.","That would be interesting- but I do think any competitions should best prepare people for the working world. In the future, it would be rare that I competed on an all women's engagement against only women. The best ideas come from groups that have a wide range of skills and expertise.",I view it the same way as gender specific academic competitions. I want to be on engagements with people from different backgrounds because they don't think the same way I do.,"I love that McCombs has started a Female Case Competition, I hope to see this grow. We are moving in a better direction in the workplace with mentorships and engaging women in their career goals. I think workplaces could a better job of making sure they are not contributing to pay gaps and promoting women. - Hope you're doing well Chandler! This was an interesting survey and made me think about what I hope to get out of my future employer!",18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas
"I don't really care what the gender make-up of the team is, but I LOVE when the team lead is a woman.","It means feeling like you're gettting the same opportunities in the workplace as your male counterparts. Not having to justify or ""puff your chest"" to get what you want - especially if your male colleagues need only ask. It means looking up the leadership chain and seeing people like you (ex: women, women of color), which is the clearest example of how high you can go in a company.","I don't know if it's useful for functional groups to be gender-specific. When I'm learning about data analytics I actually feel like when there are guys around I'm more naturally competitive. But for leadership and career-oriented groups, I think it helps a lot to be gender specific. Because women tend to approach things like career conversations differently and sometimes we need a kick in the rear to remind us to speak up and not wait to be recognized.",No personal experience in these sorts of groups but I think they're relevant if you are discussing something where cultural differences are relevant.,"I think the PR/audience value (look how awesome all these women are) is higher than the value for the participants. If you're competing, you don't realy care if you're winning against boys or girls.","Overall I don't understand the necessity for them, but wouldn't discount that they're valuable off the bat.","Out CEO is a women of color, so that makes a big difference. We could do a better job of fostering meaningful conversation. My male colleagues have often accidentally said sexist things and I'd like to feel more comfortable calling them out for their comments. It's never been personal or harmful but I don't like it and want to make them aware of what they're doing.",25 - 34,Marketing Analyst,No,Female,Bachelor's Degree,University of Texas
A diverse set of intelligent people who are comfortable debating ideas and working together,Women who have equal professional and social status. Also women who specifically are leaders,"I think they are a great way for women to meet other women in the same field, but the groups should not represent a workplace since women (and men) will almost never work with only their gender",Same as above except applied to race,"I think they should combine the genders. While these are not discriminatory, they do not represent a real workplace",Same as above except for race,,18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas
"It recognizes hard work, it's inclusive of different ideas, it encourages experimentation and risk-taking, gives credit where credit is due, it lacks ego.","It means having the right resources, tools, and environment to thrive as a woman (and human being), in the same ways other groups of people do (men, for example).","There's value in them, it encourages those specific groups to talk about the challenges they commonly face and creates a support system to overcome them. it's a safe space to share and grow.","I feel the same way as I do about the gender interest groups. They create, safe spaces, a community, and a support system to help overcome gender or race specific challenges.",It's condescending and I think counter-productive. When it comes to competitions why would you send the message that women can only compete with women? It's also not helping men and women learn how to collaborate or win/lose to each other. The world does not have gender-specific anything- it's the wrong approach. Interest groups are support networks- they're different.,"Same thing as gender. That's not how life works. It's a competition, or an academic project, not a place to find like-minded people who can help you improve.I think when it comes to competitions, make it as close to life as possible, challenge the participants, encourage true diversity.","Sending the right message about inclusion, talking openly about diversity issues in the field of study/ workplace, provide safe spaces for groups, training on unconscious bias, including men in the conversation.",25 - 34,Partner Manager,No,Female,Bachelor's Degree,University of Texas
"My ideal team would be diverse in skill sets, experience levels, background, race, and gender. Diversity is key to brainstorming, creation, and iteration.","Female empowerment, to me, means actively working to help women succeed in all the same positions as men.","I think they can help women find other women with shared interests and diverse skill sets so that they can help each other succeed my teaching, learning, networking, etc.","Again, I think they can help people of that group meet and network and raise up one another.",A gender specific competition seems like it would isolate one gender and present a scenario different from the male-and-female dynamic of the real world or workplace.,"Like the above, a race specific competition seems like it might isolate a race in a way that wouldn't reflect the real world very well...but maybe if done well, it could be useful.","By providing more generous/flexible policies for new parents (both men and women) so both can balance parenting and work, by providing more opportunities to discuss and question the current state of teams, divisions, the company, etc.",25 - 34,Designer,No,Male,Bachelor's Degree,UCLA
"depends on the job at hand, but strong communicators, low relationship conflict, high initiative",I guess it means giving women the same opportunities and responsibilities as their male counterparts,sounds a bit exclusionary...how would you feel about white men in banking groups.,"similar to above. that said, if historically disenfranchised groups can benefit from each other's insights without excluding others that's a good thing","seems to me that women can compete in science fairs as well as men, why have a separate one?",same as above,na,25 - 34,CEO,No,Male,Bachelor's Degree,University of Texas
