What support rotas are you on?,"Compared to last year, when you are on the support rota, how much support are you doing? - User Support","Compared to last year, when you are on the support rota, how much support are you doing? - Weekday Alerts","Compared to last year, when you are on the support rota, how much support are you doing? - Weekend Support","When you are not on the rota, how often are you contacted by AppBank","When you are not on the rota, how often are you contacted by L3",How often are you contacted for support by clients who should have probably raised a Keystone ticket? (ie not Appbank or other L3),"When you are contacted by AppBank or L3 outside of your rota shift,  why are you being contacted?",Since Feb have you seen a qualitative improvement in the level of investigation done by AppBank before they escalate to L3 (you)?,How often do you spend time during your support shift teaching AppBank or improving documentation to prevent a similar escalation in the future?,Have you done anything different in your project work as a result of what you've seen or learned on L3?,"What would you improve about the support process, either by investing in AppBank or something else, to reduce the amount of support you do as L3?",Are you willing to commit time to making the improvements you've suggested?,Any other feedback?
Workflow,Unchanged,Slightly Less Support,Significantly Less Support,Weekly,Daily,Weekly,I'm an all-rounder with a longer tenure than most,"It has improved but sometimes it's awfully specific or unclear what the user means, so it just stops at information gathering that could have been done at the point of ticket form submission level before going out to L1. ABO will sometimes also preliminarily redirect to inapplicable documentation because they sound similar. We need better indexable support documentation.",At every opportunity,More developer documentation where possible,Having an indexable documentation by product to allow AppBank to jump into runbooks for common support issues. We have a scattered one at Confluence,"Yes, for specific improvements","We need to always tackle documentation when a problem is found, but this requires everyone being on the same page as to where to add the new documentation / FAQ entry for ABO. Happy to help model the intial templates and such, but this would need to work around my critical deliverables."
Workflow,Significantly Less Support,NA,Significantly Less Support,Less than once per month,Less than once per month,Less than once per month,Few people are online at that time of day,Yes- I see AppBank does significant investigative work before handing over to L3,Rarely,No,Improve documentation and runbooks,"Yes, for specific improvements",No
Workflow,Slightly Less Support,Significantly Less Support,Significantly Less Support,Less than once per month,Weekly,Monthly,I'm rarely contacted outside of my shift,"Yes, but still some room for improvement in collecting some basic information before escalating",Rarely,Never assume that something will never happen,Clearer guidelines on what information is required,"Yes, for specific improvements",We need feedback too from AppBank on areas they see common problems and lack of documentation. This process needs to be more collaborative between Workflow and AppBank
Workflow,Slightly Less Support,Slightly Less Support,Slightly Less Support,Monthly,Weekly,Daily,I'm an all-rounder with a longer tenure than most,no,Rarely,no,remove legacy apps,Yes,The etask implementation is poor. Is is a poor and painful experience which should be improved.
Workflow,Slightly Less Support,Slightly Less Support,Slightly Less Support,Daily,Daily,Weekly,I'm an all-rounder with a longer tenure than most,Yes,Sometimes,No. I've been on L3 for too long now…it's part of me… :-p,I would like to see AppBank support our public DEV,Yes,It's great to have AppBank on-board. Their involvement has certainly helped.
Workflow,Significantly Less Support,Significantly Less Support,Significantly Less Support,Weekly,Weekly,Daily,Few people are online at that time of day,They are getting better at initial investigations,At every opportunity,Focus on smoother production roll outs,More focus on supportability as part of the development cycle,"Yes, for specific improvements",More dev capabilities for AppBank would help them dive into more things
Workflow,Slightly Less Support,NA,Significantly Less Support,Less than once per month,Less than once per month,Monthly,I'm the SME for that specific product,"Yes, when the issues come to me I almost always have all the information I need to statr investigating e.g. task ids from the user, wcc links",Sometimes,No,"I think the amount of support work I do on my support week could be reduced by more L3 collaboration between regions. I have struggled when I have left my shift one day and come back the next day to a queue which hadn't changed other than new issues being added. Obviously I'm not always aware what went on when I was away, but I think having some sort of handover would all me to evaluate how to best use my day. For example if I've worked on support all day and now there's only 1/2 issues outstanding being able to discuss with the person in NY if they will have the time to look at these to allow me to do some other work for an hour, rather than feeling like I have clear the queue as much as possible each day to avoid getting overwhelemed the following day.",Yes,"I'm very happy to speak with appbank about issues before they escalate them to us, however I think it would avoid confusion if they didn’t use peoples names in the escalation message (e.g. escalating after discussing with Abigail). When I see this with other peoples names I find it a bit confusing to know if that person on L3 is looking into the issue and just hasn't taken/responded to the issue or that they simply were the person who asked L1 to escalate "
Workflow,Significantly Less Support,NA,Significantly Less Support,Less than once per month,Monthly,Less than once per month,I'm rarely contacted outside of my shift,"Yes, the L1 team has clearly built up expertise and is performing diagnostics work before escalating",Sometimes,More aware of (1) the need to keep documentation up to date; (2) takng care with writing log statements to ensure all ids are logged so they're more easily searchable,Would be good to know where appbank see the gaps,"Yes, for specific improvements",no
Workflow,Slightly Less Support,Significantly Less Support,Significantly Less Support,Daily,Daily,Daily,I'm an all-rounder with a longer tenure than most,yes,Sometimes,yes,"maybe tooling for support, to simplify some checks. Improve alerts by moving them to web instead of emails","Yes, for specific improvements",no
Optimus,More Support,Unchanged,Unchanged,Less than once per month,Weekly,Weekly,Few people are online at that time of day,yes,Sometimes,bug fixes,add more confluence pages,"Yes, for specific improvements",_
