What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 2 to 9 apartments,Own,Employed full time (working more than 30 hours per week),Non-profit,English
Male,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,Unemployed,NA,English
Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,English
Male,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Own,Retired,NA,NA
Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Outer Brooklyn,Yes,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Education,NA
Male,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Southern Bronx,No,NA,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,English
Female,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Arts & Entertainment,English
Female,35,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,English
Female,34,White/Caucasian,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$75,000 - $99,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Own,Employed part time (working less than 30 hours per week),Financial services,English
Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Manhattan Core,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Inner Queens,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Own,Employed part time (working less than 30 hours per week),Education,English
Male,30,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Own,Other,NA,NA
Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Outer Queens,Yes,NA,NA,NA,NA,Single,No,No,A one family house detached from any other house,Own,Unemployed,NA,NA
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Other,NA
Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,No,A building with 50 or more apartments,Own,Other,NA,English
Female,56,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Inner Queens,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Financial services,English
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Other,English
Male,72,Two or more races,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Southern Bronx,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Widowed,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,English
