UniqueID,What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,What is your zip code?,What is your borough?,Do you have a drivers license?,Do you have access to a car?,Reason for car,What type of car do you have?,Where do you park your car?,Do you pay to park?,Do you have a smartphone?,Do you own a bike?,How many bikes do you own?,qBIKETYPE1,Where do your packages get delivered?,"If you get parcels at a postal store, how far away are they?",Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,How many children do you have?,Do you accompany your children to school?,Employment Status,What type of industry do you work in?,How many fulltime jobs do you have?,How many part time jobs do you have?,How many jobs do you have?,Where do you work?,Can you work from home?,Which borough do you work in?,What time do you go to work?,What time do you finish work?,What is your preferred language?
100938,Female,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,11372,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",2,Gasoline,In a single family home garage or driveway,NA,Yes,Yes,2,Yes,My lobby,NA,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 2 to 9 apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Non-profit,1,0,1 job,At an office,"No, do not work from home",Manhattan,8:15 AM,7:00 PM,English
105388,Male,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,11201,Brooklyn,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,2,No,My lobby,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
105415,Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,10039,Manhattan,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
100402,Male,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Inner Brooklyn,11205,Brooklyn,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My lobby,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,NA
100222,Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Outer Brooklyn,11235,Brooklyn,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,2,Yes,My doorstep,NA,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At a school or day care facility,"No, do not work from home",Brooklyn,6:45AM,"5""30PM",NA
103578,Male,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Southern Bronx,10467,The Bronx,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,A postal store,10-20 blocks,NA,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,One,No,Employed full time (working more than 30 hours per week),Retail,1,0,1 job,"At a store, restaurant, or hotel","No, do not work from home",Manhattan,10a,1030p,English
102092,Female,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,10039,Manhattan,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,In another parking garage or lot,Yes,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,None,NA,Employed part time (working less than 30 hours per week),Arts & Entertainment,NA,1,1 job,Varying job sites,"No, do not work from home",Manhattan,"Totally varies, I freelance",Varies,English
102592,Female,35,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Bronx,10458,The Bronx,No,Other,NA,NA,NA,NA,Yes,No,NA,NA,A postal store,More than 20 blocks,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
101457,Female,34,White/Caucasian,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$75,000 - $99,999",Staten Island,10314,Staten Island,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,An alternative address (i.e. a family member or friend's),6-10 blocks,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Own,One,NA,Employed part time (working less than 30 hours per week),Financial services,NA,1,1 job,From home,"Yes, work from home",NA,,,English
104532,Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Manhattan Core,10025,Manhattan,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My lobby,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
