Area_m2,Grade,Surface_Ty,Damage_Typ,Damage_Wid,Length,NSG_REFERE,NE_ID_OF,NE_DESCR,LOCALITY
43.419772,Grade 3 Mid Life,Bituminous,"Chipping Loss, Fretting",11.91996147,3.64364122,33301026,4744767,CORNWOOD WAY,HAXBY
15.62707,Grade 3 Mid Life,Bituminous,"Patching, Cracking - Longitudinal, Cracking - Wheel Track, Chipping Loss",6.051193641,2.58312095,45801802,8236313,STANLEY STREET,MONK
71.74226,Grade 4 Functionally Impaired,Bituminous,"Fretting, Chipping Loss, Cracking - Coarse Cracking, Cracking - Wheel Track",4.188937029,17.13104207,82642581,4745094,MOOR LANE TO WOOD END FARM AND BIRKHILL FARM,NABURN
48.105606,Grade 4 Functionally Impaired,Bituminous,"Subsidence, Cracking - Crazing, Cracking - Wheel Track Crazing, Fretting, Chipping Loss",4.441405492,10.83397468,82642581,4745094,MOOR LANE TO WOOD END FARM AND BIRKHILL FARM,NABURN
32.662564,Grade 1 Free From Defects,Bituminous,,6.415610131,5.09238974,45801731,4744926,ROSE STREET,BOOTHAM
52.21656,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Patching, Fretting, Fatting, Chipping Loss, Cracking - Wheel Track, Cracking - Coarse Cracking, Cracking - Crazing, Cracking - Arc Cracking",4.209677538,12.40743469,33300807,4741728,MOOR LANE,SKELTON
41.62586,Grade 4 Functionally Impaired,Bituminous,"Subsidence, Reinstatement, Patching, Ironwork Deterioration, Fretting, Chipping Loss, Cracking - Transverse",6.83543526,6.09124924,45801731,8236412,ROSE STREET,BOOTHAM
135.319278,Grade 3 Mid Life,HRA,"Cracking - Wheel Track, Cracking - Longitudinal, Patching",10.67738582,12.67665132,45801702,4744942,PICCADILLY,GUILDHALL
74.311621,Grade 3 Mid Life,Bituminous,"Chipping Loss, Ironwork Deterioration",9.141435059,8.13136375,82625227,4744803,NORTH LANE TO THE VILLAGE ROAD,HAXBY
5.975802,Grade 3 Mid Life,HRA,"Chipping Loss, Ironwork Deterioration, Cracking - Coarse Cracking, Cracking - Wheel Track",4.954862192,1.20635337,45801798,4744890,ST SAVIOURGATE,GUILDHALL
